Player,Pokémon,Sim_Score,#,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,HP_scale,Attack_scale,Defense_scale,Sp. Attack_scale,Sp. Defense_scale,Speed_scale,TOI_GP,xEVO_GAR,xEVD_GAR,xPPO_GAR,xSHD_GAR,Pens_GAR,TOI_GP_scale,xEVO_GAR_scale,xEVD_GAR_scale,xPPO_GAR_scale,xSHD_GAR_scale,Pens_GAR_scale
A.J. Greer,Clamperl,75.5,366,35,64,85,74,55,32,0.073264781,0.401028278,0.759640103,0.629820051,0.357326478,0.123393316,9.108196721,-0.1,3.4,0,0,-0.8,0.036686391,0.371005917,0.885798817,0.461538462,0.463905325,0.120118343
Aaron Ekblad,Sunflora,48.6,192,75,75,55,105,85,30,0.70437018,0.559125964,0.359897172,0.912596401,0.777634961,0.096401028,23.3943662,-0.3,-1.2,3.8,2.9,-0.9,0.969230769,0.326035503,0.243195266,0.931360947,0.991715976,0.10295858
Aatu Raty,Sableye,66.3,302,50,75,75,65,65,50,0.287917738,0.559125964,0.638817481,0.528277635,0.51285347,0.33033419,8.38,0.7,0.8,0,0,-0.3,0.016568047,0.490532544,0.593491124,0.461538462,0.463905325,0.253254438
Adam Beckman,Farfetch'd,65.4,83,52,65,55,58,62,60,0.334190231,0.433161954,0.359897172,0.406169666,0.46529563,0.466580977,10.68888889,-0.6,0.3,0,0,0.4,0.114792899,0.292307692,0.493491124,0.461538462,0.463905325,0.556213018
Adam Boqvist,Ninjask,52.9,291,61,90,45,50,50,160,0.498714653,0.755784062,0.21722365,0.318766067,0.277634961,0.997429306,18.63478261,5.6,-3.9,-0.2,0,1.7,0.760946746,0.815976331,0.075739645,0.18816568,0.463905325,0.873964497
Adam Erne,Psyduck,62.4,54,50,52,48,65,50,55,0.287917738,0.28277635,0.246786632,0.528277635,0.277634961,0.403598972,13.38032787,-2.4,0,0,-1.2,0.1,0.313609467,0.107100592,0.441420118,0.461538462,0.088757396,0.437278107
Adam Fox,Groudon,88.9,383,100,150,140,100,90,90,0.92159383,0.992287918,0.974293059,0.877892031,0.823907455,0.80848329,24.3695122,16.8,4.3,3.3,0.2,0.9,0.985798817,0.981656805,0.924852071,0.920118343,0.739053254,0.732544379
Adam Henrique,Weepinbell,59.1,70,65,90,50,85,45,55,0.551413882,0.755784062,0.290488432,0.741645244,0.20437018,0.403598972,18.17419355,8.9,-1.2,1.7,-4.1,-0.3,0.730177515,0.896449704,0.243195266,0.84852071,0.007692308,0.253254438
Adam Larsson,Rhyhorn,68.8,111,80,85,95,30,30,25,0.764781491,0.708226221,0.834190231,0.068123393,0.061696658,0.059125964,23.64146341,3.3,4.5,-0.1,-2.1,-1.1,0.973964497,0.715384615,0.933136095,0.237869822,0.047928994,0.072781065
Adam Lowry,Sandshrew,39.7,27,50,75,85,20,30,40,0.287917738,0.559125964,0.759640103,0.019280206,0.061696658,0.195372751,15.65609756,3.3,1.1,-1.6,-2.7,0.5,0.49704142,0.715384615,0.644970414,0.026627219,0.031952663,0.595266272
Adam Pelech,Rhydon,60.5,112,105,130,120,45,45,40,0.947300771,0.966580977,0.944730077,0.254498715,0.20437018,0.195372751,21.65245902,3.9,6.8,0,-2.2,-0.5,0.928994083,0.743195266,0.979881657,0.461538462,0.044970414,0.18816568
Adam Ruzicka,Goldeen,63,118,45,67,60,35,50,63,0.210796915,0.460154242,0.438303342,0.116966581,0.277634961,0.498714653,11.60454545,0.5,1.4,-0.3,0,0.3,0.169230769,0.467455621,0.701183432,0.159763314,0.463905325,0.520710059
Adrian Kempe,Octillery,63.9,224,75,105,75,105,75,45,0.70437018,0.883033419,0.638817481,0.912596401,0.641388175,0.26092545,18.75731707,12.7,1.8,4.1,1.1,-0.8,0.771597633,0.949704142,0.750295858,0.943195266,0.889349112,0.120118343
Aidan McDonough,Bulbasaur,71.2,1,45,49,49,65,65,45,0.210796915,0.224935733,0.254498715,0.528277635,0.51285347,0.26092545,9.316666667,0.1,-0.7,0,0,-0.2,0.043786982,0.408284024,0.315976331,0.461538462,0.463905325,0.293491124
Akito Hirose,Nidorina,65.6,30,70,62,67,55,55,56,0.633676093,0.385604113,0.544987147,0.377892031,0.357326478,0.43059126,17.45714286,-1.3,-0.3,0,-0.3,0,0.675739645,0.191715976,0.378106509,0.461538462,0.214792899,0.392307692
Alec Martinez,Jumpluff,59,189,75,55,70,55,85,110,0.70437018,0.304627249,0.582262211,0.377892031,0.777634961,0.948586118,19.22727273,-2.5,1.5,-0.1,0.6,1,0.8,0.099408284,0.718343195,0.237869822,0.831360947,0.761538462
Alec Regula,Clefairy,78.5,35,70,45,48,60,65,35,0.633676093,0.179948586,0.246786632,0.447300771,0.51285347,0.14781491,16.6,-0.5,-0.3,0,0,-0.3,0.591715976,0.303550296,0.378106509,0.461538462,0.463905325,0.253254438
Aleksander Barkov,Mew,87.1,151,100,100,100,100,100,100,0.92159383,0.848329049,0.87403599,0.877892031,0.890745501,0.903598972,21.225,3.8,4.3,5.5,1.3,2.2,0.915976331,0.737278107,0.924852071,0.973964497,0.90887574,0.932544379
Aleksi Heponiemi,Bulbasaur,76.8,1,45,49,49,65,65,45,0.210796915,0.224935733,0.254498715,0.528277635,0.51285347,0.26092545,8.59,-0.7,-0.8,0,0,-0.1,0.021301775,0.275739645,0.297633136,0.461538462,0.463905325,0.340828402
Alex Alexeyev,Dustox,66.2,269,60,50,70,50,90,65,0.44344473,0.251928021,0.582262211,0.318766067,0.823907455,0.529562982,16.453125,-3.9,1.2,0,0.4,0.2,0.570414201,0.035502959,0.666272189,0.461538462,0.795266272,0.480473373
Alex Barabanov,Seviper,62.3,336,73,100,60,100,60,65,0.679948586,0.848329049,0.438303342,0.877892031,0.429305913,0.529562982,18.05294118,2.9,-1.9,1.2,0,0.1,0.720710059,0.683431953,0.175739645,0.818934911,0.463905325,0.437278107
Alex Belzile,Anorith,58.2,347,45,95,50,40,50,75,0.210796915,0.807197943,0.290488432,0.185089974,0.277634961,0.656812339,12.13225806,4.2,1,-0.1,-0.5,0.5,0.215384615,0.758579882,0.626627219,0.237869822,0.180473373,0.595266272
Alex Carrier,Dustox,60.3,269,60,50,70,50,90,65,0.44344473,0.251928021,0.582262211,0.318766067,0.823907455,0.529562982,17.88837209,-0.1,0.7,-0.3,1.1,0.5,0.712426036,0.371005917,0.575147929,0.159763314,0.889349112,0.595266272
Alex Chiasson,Magnemite,75.5,81,25,35,70,95,55,45,0.0218509,0.088688946,0.582262211,0.831619537,0.357326478,0.26092545,12.07,-1.4,0.6,1.9,0,-0.4,0.20591716,0.184023669,0.555621302,0.863313609,0.463905325,0.219526627
Alex Debrincat,Plusle,41.8,311,60,50,40,85,75,95,0.44344473,0.251928021,0.152956298,0.741645244,0.641388175,0.857326478,19.00609756,-1.5,-5.5,4.5,0,3,0.785798817,0.170414201,0.040828402,0.958579882,0.463905325,0.972781065
Alex Edler,Drowzee,65.9,96,60,48,45,43,90,42,0.44344473,0.21722365,0.21722365,0.227506427,0.823907455,0.228791774,14.784375,-0.4,-0.7,0,1.4,-0.8,0.430769231,0.314201183,0.315976331,0.461538462,0.918343195,0.120118343
Alex Galchenyuk,Bulbasaur,71.4,1,45,49,49,65,65,45,0.210796915,0.224935733,0.254498715,0.528277635,0.51285347,0.26092545,7.109090909,-0.1,-1,0,0,-0.4,0.004733728,0.371005917,0.266272189,0.461538462,0.463905325,0.219526627
Alex Goligoski,Marshtomp,58.3,259,70,85,70,60,70,50,0.633676093,0.708226221,0.582262211,0.447300771,0.580976864,0.33033419,17.6673913,3.7,0.8,-0.2,0.5,0,0.695857988,0.732544379,0.593491124,0.18816568,0.815384615,0.392307692
Alex Holtz,Magnemite,75,81,25,35,70,95,55,45,0.0218509,0.088688946,0.582262211,0.831619537,0.357326478,0.26092545,10.26842105,-1.8,-0.1,0.5,0,-0.1,0.087573964,0.14556213,0.418343195,0.74556213,0.463905325,0.340828402
Alex Iafallo,Gardevoir,80.8,282,68,65,65,125,115,80,0.593830334,0.433161954,0.516709512,0.973007712,0.951156812,0.700514139,16.3,1.5,1.1,4.8,1.8,0.6,0.555029586,0.572781065,0.644970414,0.962721893,0.952071006,0.638461538
Alex Kerfoot,Mantine,47.3,226,65,40,70,80,140,70,0.551413882,0.12596401,0.582262211,0.686375321,0.983290488,0.606683805,14.61829268,-3.6,4.9,0.2,1.4,1,0.413017751,0.050295858,0.955029586,0.70295858,0.918343195,0.761538462
Alex Killorn,Camerupt,58,323,70,100,70,105,75,40,0.633676093,0.848329049,0.582262211,0.912596401,0.641388175,0.195372751,17.20487805,13.3,-0.5,0.6,0,-0.9,0.650887574,0.956804734,0.346153846,0.75739645,0.463905325,0.10295858
Alex Newhook,Mawile,53,303,50,85,85,55,55,50,0.287917738,0.708226221,0.759640103,0.377892031,0.357326478,0.33033419,13.95365854,1.9,1.5,-1.9,0,-0.2,0.353846154,0.609467456,0.718343195,0.016568047,0.463905325,0.293491124
Alex Nylander,Sableye,84.8,302,50,75,75,65,65,50,0.287917738,0.559125964,0.638817481,0.528277635,0.51285347,0.33033419,12.31111111,0.5,0.9,0,0,0.1,0.233136095,0.467455621,0.60887574,0.461538462,0.463905325,0.437278107
Alex Ovechkin,Wailord,22.3,321,170,90,45,90,45,60,0.992287918,0.755784062,0.21722365,0.786632391,0.20437018,0.466580977,20.20410959,10.1,-10.4,4.2,0,-1.6,0.871005917,0.928994083,0.002366864,0.949704142,0.463905325,0.027810651
